Departamento,Iniciales,Cantidad,Incautaciones
AMAZONAS,AMA,183680,244
ANTIOQUIA,ANT,31039754,40953
ARAUCA,ARA,15603,152
ATLANTICO,ATL,4311434,1578
BOLIVAR,BOL,15612625,2056
BOYACA,BOY,398211,531
CALDAS,CAL,508512,3369
CAQUETA,CAQ,3223876,378
CASANARE,CAS,334679,526
CAUCA,CAU,8902861,1393
CESAR,CES,4838399,3456
CHOCO,CHO,4918502,263
CORDOBA,COR,681550,897
CUNDINAMARCA,CUN,9590186,12263
GUAINIA,GUAI,956,58
GUAJIRA,GUAJ,13287993,425
GUAVIARE,GUAV,1480960,434
HUILA,HUI,2215091,1147
MAGDALENA,MAG,11986737,1011
META,MET,3863100,1396
NARINO,NAR,58110778,1448
NORTE DE SANTANDER,NOR,4637546,1501
PUTUMAYO,PUT,2759763,814
QUINDIO,QUI,1181144,1205
RISARALDA,RIS,9295138,1797
SAN ANDRES,SAN,515100,85
SANTANDER,SANT,2726345,5011
SUCRE,SUC,1984258,2394
TOLIMA,TOL,2199612,1241
VALLE,VAL,27063647,27733
VAUPES,VAU,3813,28
VICHADA,VIC,202208,136
